marker_id,corpus,split,wearer,meeting_id,preceding_turns,wearer_next_utterance,wearer_profile_terms,wearer_past_context,label,notes,annotator,saved_at
icsi/Val/000037/32751,icsi,Val,fe008,Btr001,"Speaker 6: Hmm. Would you want, um, uh, a transcription of something like that, of a big pause in between in the middle of a word? Or just leave it as,"" fascinating""?
User: What I've done I've It's very rare. I mean, when I've run across it.
Speaker 6: Mm - hmm.
User: And, you know, maybe there are times that I haven't detected it and I'm not @ @ you know, fin I haven't looked at everything. I've looked at I've probably looked at per uh s at least eighty percent of the data, you know, all the way through e every meeting for about eighty percent of the stuff that I've cleared so far.
Speaker 6: Oh!","i it s You guys are getting so good that it's like I'm I I i I can get through them faster, and I'm getting to the point where I maybe don't have to go through them all the way, you know, so it's like","overlaps(36), transcriber(24), overlap(24), transcribers(23), interface(21), script(21), reference(21), backchannels(17), convention(16), transcription(16), respect(16), ibm(16), speakers(14), transcripts(14), thilo(14), context(13), microphone(13), conventions(13), speaker(13), addition(12)","[Bmr010] th the interface we're using, overlaps are, uh, not being encoded by the transcribers in as complete and, uh,
[Bmr005] Well, yeah, b yeah, I would say time bin. So my my goal is to get words with reference to a time bin, beginning and end point. And and sometimes, you know, it was like you could have an overlap where someone said something in the middle, but,
[Bmr018] I think that there always th there would have to be some hand - tweaking, but it's possible that a script could be written to merge those two types of things. I've I've discussed it with Thilo and I mean",0,One-off generic phrase; not a core project/entity,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Test/000038/89799,icsi,Test,fe008,Btr002,"Speaker 2: Mm - hmm.
User: That's right.
Speaker 6: Hmm.
Speaker 2: Which is a very it's that's how I tended
User: That's right.",(wearer's next turn has no words -- a non-lexical vocalisation such as a laugh or breath),"overlaps(37), overlap(26), interface(25), transcriber(24), transcribers(24), script(21), reference(21), ibm(19), backchannels(18), context(17), respect(17), convention(16), transcription(16), speakers(15), thilo(15), conventions(14), transcripts(14), microphone(13), speaker(13), addition(12)","[Bmr010] th the interface we're using, overlaps are, uh, not being encoded by the transcribers in as complete and, uh,
[Bmr005] Well, yeah, b yeah, I would say time bin. So my my goal is to get words with reference to a time bin, beginning and end point. And and sometimes, you know, it was like you could have an overlap where someone said something in the middle, but,
[Bmr018] I think that there always th there would have to be some hand - tweaking, but it's possible that a script could be written to merge those two types of things. I've I've discussed it with Thilo and I mean",0,,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Train/000140/15288,icsi,Train,me010,Bed010,"User: But uh starting next meeting I think we want to flip into this mode where Uh. I mean there are a lot of issues, what's the ontology look like, you know what do the constructions look like, what's the execution engine look like, mmm lots of things.
Speaker 1: Mm - hmm. Mm - hmm.
User: But, more focused on uh an idealized version than just getting the demo out. Now before we do that, let's get back in Oh! But, it's still, I think, useful for you to understand the demo version
Speaker 1: Yeah.
User: enough, so that you can can see what what it is that that uh it might eventually get retro - fitted into or something.","And Johno's already done that,","belief(31), ontology(23), net(16), discourse(15), robert(14), decision(14), - net(13), xml(11), german(11), endpoint(11), context(10), notion(9), user(9), bayes(8), goal(8), bhaskara(8), sorts(8), decisions(8), view(8), construction(7)","[Bed008] Uh from the belief - net point of view it is
[Bed009] There's a first cut at a belief - net that that doesn't it isn't fully uh instantiated, and in particular some of the the combination rules and ways of getting the the conditional probabilities aren't there.
[Bed002] the y you know, belief - net package and tell us what it is, and give us a pointer so we can play with it or something.",1,Wrong Item,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Val/000287/6350,icsi,Val,me025,Buw001,"Speaker 6: Right. I thought you did that
Speaker 3: Roll call.
Speaker 6: on purpose. But anyway, shall we do the roll call?
Speaker 3: No, not a No, I just My mind went elsewhere. So, uh, yeah, I'm Morgan, and where am I? I'm on channel three.
Speaker 1: And I'm Adam Janin on channel A.",I'm Dan Ellis.,"channels(7), table(7), tools(7), dan(6), microphones(5), mikes(5), transcriber(5), equipment(4), wireless(4), eric(4), project(4), pzm number(4), tcl(4), ear(3), list(3), machine(3), pc(3), transcript number(3), whole thing(3), head(3)","[Bmr002] "" Transcriber was developed with the scripting language TCL TK and C extensions. It relies on the Snack sound extension, which allows support for most common audio formats.""
[Bmr001] Um, it's it's gonna b it's for reasons because of the microphones runs we want that chunk there. There's more equipment in there.
[Bmr003] So there are actually six XLR outs on the back of the radio receiver and only five cables going in, I had the wrong five, so I ended up not recording one of the channels and recording the mix.",0,,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Train/000110/39780,icsi,Train,me003,Bed012,"Speaker 1: So, this week, yeah.
Speaker 3: OK.
User: When you say,"" the whole group"", you mean the four of us, and Keith?
Speaker 1: And, Ami might.
User: Ami might be here, and it's possible that Nancy'll be here?","So,","source(9), mode(8), xml(8), roles(8), discourse(7), door(7), tourist(7), smartkom(6), admission fee(6), bayes(6), action(6), tango(5), bhaskara(5), context(5), enter(5), javabayes(5), net(5), node(5), probabilities(5), robert(5)","[Bed003] Yeah I know there is an I was looking on the we web page and he's updated it for an XML version of I guess Bayes - nets. There's a Bayes - net spec for in XML.
[Bed004] And I separated them out. And then I um did similar things for our our net to uh with the context and the discourse and whatnot,
[Bed006] One reason we're doing it this way is in case there's extra structure that's in the Enter action that's not captured by the schemas, right?",0,,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Train/000381/55258,icsi,Train,mn017,Bdb001,"User: Right. So, um, the p my point is that you're gonna end up with, uh, word sequences that are differently annotated. And you want some tool, uh, that is able to sort of merge these different annotations back into a single, uh, version. OK? Um, and we had this problem very massively, uh, at SRI when we worked, uh, a while back on, uh well, on dialogue acts as well as, uh, you know, um, what was it? uh,
Speaker 3: Well, all the Switchboard in it. Yeah.
User: utterance types. There's, uh, automatic, uh, punctuation and stuff like that. Because we had one set of annotations that were based on, uh, one version of the transcripts with a particular segmentation, and then we had another version that was based on, uh, a different s slightly edited version of the transcripts with a different segmentation. So, we had these two different versions which were you know, you could tell they were from the same source but they weren't identical. So it was extremely hard to reliably merge these two back together to correlate the information from the different annotations.
Speaker 2: Yep. I I don't see any way that file formats are gonna help us with that. It's it's all a question of semantic.
User: No. No. But once you have a file format, I can imagine writing","not personally, but someone writing a tool that is essentially an alignment tool,","laughter(7), fair number(3), switchboard(3), visual contact(3), breathing(3), downsampling(3), jane(2), overlaps(2), transcripts(2), andreas(2), chairs(2), minute(2), nodding(2), overlap(2), ibm(2), models(2), more work(2), sri recognizer(2), language model(2), sri(2)","[Bmr005] No, of course. I expect you to find more overlaps than than Jane because you're looking at it at a much more detailed level.
[Bmr010] It is useful to transcribe and then ultimately train models for things like breath, and also laughter is very, very frequent and important to
[Bmr012] And and feed them to feed them to the SRI recognizer and see if if the SRI front - end does something.",0,Direct sentence continuation; procedural/logic turn with no specific entity retrieval from memory.,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Val/000062/33611,icsi,Val,fe016,Buw001,"Speaker 1: get all the standards, and to do anything with it.
Speaker 2: So we're gonna do what we're gonna do, whatever's reasonable for us. But having
Speaker 1: Yeah.
User: I think even doing something very crude Like I know with ATIS, we just had a tape recorder running all the time.
Speaker 1: Mm - hmm.","you know, low, uh, perplexity,","mari(9), funding(4), turn(3), uw(3), conversations(2), darpa(2), dialogue(2), jane(2), jeff(2), katrin(2), language(2), ldc(2), microphone(2), microphones(2), really good idea(2), site(2), speaker(2), telephone(2), transcriber(2), transcription(2)","[Bsr001] do something. I guess, I My interest was sort of in the language and dialogue m modeling, and the turn overlaps, and",0,"Generic technical term (""perplexity""); not present in profile and no actionable entity hint possible.",A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Train/000191/20081,icsi,Train,me012,Bed012,"User: If we trusted the Go - there node more th much more than we trusted the other ones, then we would conclude, even in this situation, that he wanted to go there. So, in that sense, we weight them equally
Speaker 1: OK. Makes sense. Yeah.
User: right now.
Speaker 3: So the But I guess the k the question
Speaker 1: But","Yeah, so, the final d decision is the combination of these three. So again, it's it's some kind of, uh","node(12), probabilities(11), probability(9), landmark(7), javabayes(6), admission fee(5), mode(5), nodes(5), values(5), bayes(4), context(4), probability distribution(4), xml(4), experts(4), guys(4), business(3), nice walls(3), other ones(3), purposes(3), three possibilities(3)","[Bed003] Oh, sorry."" Verb used"" is like, right now we only have three values, but in general they would be a probability distribution over all verbs.
[Bed008] And in order for this to be a valid probability distribution for each um
[Bed005] W The this would just represent the probability distribution of this,",0,High-level conversational continuation/summary; no specific entity or past memory retrieval required.,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Val/000181/432,icsi,Val,me011,Btr001,"User: OK, you're on.
Speaker 2: OK.
User: And, do you have my number?
Speaker 2: Um, w would you mind telling me again, please? Oh, he's gonna write it. OK. Now, if the batteries were to go out during the meeting, there's really what do we do?
User: Put a new one in.","Actually, I'll probably get some coffee then I'll be back.","jane(68), form(42), dan(36), transcriber(31), chuck(25), tools(24), corpus(24), ibm(22), transcripts(21), icsi(20), sony(20), mikes(19), transcription(19), xml(18), forms(17), thanks(17), broadcast news(17), hand(16), list(16), file(16)","[Bmr012] I do remember seeing once the transcriber produce an incorrect XML file where one of the synch numbers was incorrect.
[Bdb001] For Perl if you want to just do Perl. If you wanted to use the structured XML query language, that's a different thing. And it's a set of tools that let you specify given the D - DDT DTD of the document,
[Bmr005] Right now I'm looking at Jane and talking, now I'm looking at Chuck and talking, I don't think the microphones would pick up that difference.",0,,A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
icsi/Test/000038/126705,icsi,Test,fe008,Btr002,"User: Cuz that's that falls within the realm of pronunciation variants. It's just like different ways of saying"" and"".
Speaker 2: OK.
Speaker 5: Right.
Speaker 4: Right. Mm - hmm.
User: OK. And I have like, uh, uh, two more things I wanted to say. One of them is, um Oh, yeah. This is an interesting category to me, and I don't, um, y y don't have to mark this systematically. But when you're going through the meeting, and what I'd like people to do if if you're not uh, uh is to go through the meeting, um So, if you're doing you're doing separate channels first and then as a final pass through the mixed channel, I don't think I've made that explicit but it w it's really helpful to go through it a a final time though the mixed channel so that you hear things in context. And at that point what I sometimes pick up is this meta - level, where someone is finishes someone's someone else's utterance. So you'll suddenly have this stranded word out in the middle of nowhere, and it's because","this other speaker on this other channel was trying to formulate this thought, and they paused, and they paused just enough that this person leaped in and gave them a word.","overlaps(37), overlap(26), interface(25), transcriber(24), transcribers(24), script(21), reference(21), ibm(19), backchannels(18), context(17), respect(17), convention(16), transcription(16), speakers(15), thilo(15), conventions(14), transcripts(14), microphone(13), speaker(13), addition(12)","[Bmr010] th the interface we're using, overlaps are, uh, not being encoded by the transcribers in as complete and, uh,
[Bmr005] Well, yeah, b yeah, I would say time bin. So my my goal is to get words with reference to a time bin, beginning and end point. And and sometimes, you know, it was like you could have an overlap where someone said something in the middle, but,
[Bmr018] I think that there always th there would have to be some hand - tweaking, but it's possible that a script could be written to merge those two types of things. I've I've discussed it with Thilo and I mean",0,"Direct completion of an explanatory sentence (""...and it's because...""); no entity retrieval from memory.",A.J.A. Jubayer Talukder,2026-08-12T05:13:59+00:00
