marker_id,corpus,split,wearer,meeting_id,preceding_turns,wearer_next_utterance,wearer_profile_terms,label,notes,annotator,saved_at
icsi/Test/000104/27469,icsi,Test,me003,Bed004,"Speaker 4: Uh, so. If you co you could ima and I now I don't know that any of those actually apply in this case, but there is some technology you could try to apply.
User: So it's possible that we could do something like a summary node of some sort that
Speaker 4: Yeah.
User: OK.
Speaker 4: Yeah. And, um","So in that case, the sum we'd have we I mean, these wouldn't be the summary nodes. We'd have the summary nodes like where the things were I guess maybe if thi if things were related to business or","door(6), tourist(6), tango(5), admission fee(5), discourse(5), smartkom(4), bhaskara(4), mode(4), nice walls(4), powder - tower(3), javabayes(3), lines(3), middle(3), presentation(3), probabilities(3), suggestions(3), vista(3), walls(3), belief(2), nets(2)",1,,A.J.A. Jubayer Talukder,2026-08-12T07:12:41+00:00
icsi/Test/000249/18554,icsi,Test,me018,Bmr015,"Speaker 1: Exactly what we say in the proposal.
User: I I mean uh which part is ICSI though. I mean
Speaker 2: You know, it i None of it will go for those yachts that we've talking about.
User: Dang!
Speaker 2: Um,",It's just for the research to continue the research on the Meeting Recorder stuff?,"net(10), aurora(8), timit(8), slash - scratch(7), mikes(7), ti - digits(6), backchannel(6), experiment(5), language(5), machine(5), silence(5), times(5), steve(5), transcriptions(5), database(4), labels(4), models(4), neural net(4), new disk(4), bug(4)",1,,A.J.A. Jubayer Talukder,2026-08-12T07:12:41+00:00
icsi/Train/000371/49166,icsi,Train,mn015,Bed008,"User: OK, these have no parents yet, but I guess that sort of doesn't matter. Right?
Speaker 3: Well, the idea is that you go there, you go comes from something about the user
User: I mean this is sort of This comes from traffic and so forth, yeah.
Speaker 3: from something about the situation and the uh the discourse is is a mystery.
User: Sh - Should we just make some",um,"nuh(16), german(13), xml(13), object(12), wizard(12), building(10), intention(10), johno(10), parser(10), friday(10), heidelberg(9), input(9), net(9), task(9), fey(9), bhaskara(8), vista(8), schema(8), belief(7), map(7)",0,,A.J.A. Jubayer Talukder,2026-08-12T07:12:41+00:00
icsi/Train/000146/17580,icsi,Train,me011,Bdb001,"User: Yeah, the other thing We should look at ATLAS, the NIST thing,
Speaker 2: Oh.
Speaker 3: Mmm.
Speaker 2: Uh
User: and see if they have anything at that level. I mean, I'm not sure what to do about this with ATLAS, because they chose a different route. I chose something that Th - there are sort of two choices. Your your file format","know that you're talking about language and speech, which is what I chose, and time, or your file format can just be a graph representation.","jane(42), form(33), dan(30), transcription(18), thanks(16), iram(14), forms(13), corpus(13), overlap(13), transcripts(12), project(12), tools(12), hand(11), table(11), transcriber(11), wireless(11), region(11), meeting recorder(10), mikes(10), p z ms(10)",1,,A.J.A. Jubayer Talukder,2026-08-12T07:12:41+00:00
icsi/Val/000174/3239,icsi,Val,me011,Bns001,"Speaker 2: OK, Transcript script one four one one dash one four thre uh three zero. seven six four six three seven four eight six six four seven nine nine O O zero zero six two two eight zero one two five three four four six O two five six four four six six eight one five seven O eight O three zer zero three five three two one five three two six two two three eight four O one six one five seven two three five one two eight
Speaker 5: Um, transcript number one six five one, one six seven O - uh O. six O O seven zero nine one O three w O O nine zero six two zero two eight five one eight two three four O eight five seven six two four seven four three nine five five zero eight seven two seven nine eight seven one one O zero one three two O seven three four two five five six six five
User: Thanks.
Speaker 1: Transcript is one four nine one dash one five one O O O five six zero zero six four two one one seven O three three three eight four two five five three five six seven eight O two five three seven zero four seven four five six three one six eight eight two three O three three nine five one four six three seven four six six two eight five three nine O
Speaker 6: Transcript one seven one one dash one seven three O nine four O zero one two zero zero three one nine nine four one",Thanks,"jane(32), dan(21), transcription(16), iram(11), tools(10), transcriber(9), corpus(9), user interface(8), project(8), queries(8), meeting recorder(7), p z ms(7), transcripts(7), thanks(7), overlap(7), broadcast news(7), form(6), mikes(6), money(6), table(6)",0,,A.J.A. Jubayer Talukder,2026-08-12T07:12:41+00:00
icsi/Train/000040/48747,icsi,Train,fe016,Bdb001,"Speaker 2: it doesn't it seems pretty reasonable to use it. But let me look at it again.
User: OK, great.
Speaker 2: As I said, that
User: Cuz we actually can start
Speaker 2: There's one level there's one more level of indirection and I'm just blanking on exactly how it works. I gotta look at it again.","channels, you know, with the channels in the tag and stuff like that. So that would be i directly,","jane(24), switchboard(16), overlap(13), don(13), mari(12), speaker(11), recognizer(11), overlaps(9), forced alignment(9), board(8), transcription(8), transcripts(8), turn(8), recognition(8), transcribers(8), backchannel(7), ideas(7), microphones(7), close - talking mikes(7), queries(7)",1,,A.J.A. Jubayer Talukder,2026-08-12T07:12:41+00:00
icsi/Train/000203/25194,icsi,Train,me013,Bmr016,"Speaker 3: I don't know if it would be useful for comparison, but it's embedded numbers.
User: Well I don't know.
Speaker 2: I think for something like that we'd be better off doing like uh TIMIT.
User: Well I think the question is what the research is, so I mean, I presume that the reason that you wanted to have these digits this way is because you wanted to actually do some research
Speaker 2: Hmm.",form here.,"training(28), energy(24), overlaps(23), discussion(20), jose(19), overlap(18), plp(18), ibm(17), research(17), silence(17), htk(17), language(17), switchboard(17), jane(15), microphones(15), good thing(15), range(14), ti - digits(14), msg(14), neural net(14)",0,,A.J.A. Jubayer Talukder,2026-08-12T07:12:41+00:00
icsi/Test/000038/5475,icsi,Test,fe008,Btr002,"Speaker 2: Right.
Speaker 5: Right.
User: but, um, it's, you know, conceivable. And then,
Speaker 4: Hmm.
User: um, let's see. There's one other here I thought was interesting.",This is Jerry Feldman.,"overlaps(37), overlap(26), interface(25), transcriber(24), transcribers(24), script(21), reference(21), ibm(19), backchannels(18), context(17), respect(17), convention(16), transcription(16), speakers(15), thilo(15), conventions(14), transcripts(14), microphone(13), speaker(13), addition(12)",0,,A.J.A. Jubayer Talukder,2026-08-12T07:12:41+00:00
icsi/Train/000017/50433,icsi,Train,fe008,Bmr009,"Speaker 4: Well,
User: five years on the west coast"" or something or other.
Speaker 4: We I think we don't want to get that level of detail at this form. I think that's alright if we want to follow up. But.
Speaker 1: I guess we don't really know.
Speaker 2: I mean I As I said, I don't think there's a huge benefit to this region thing. It it gets The problem is that for some things it's really clear and usually listening to it you can tell right away if it's a New York or Boston accent, but New York and Boston are two well, I guess they have the NYC, but New England has a bunch of very different",Mm - hmm.,"overlap(13), overlaps(13), speaker(10), tools(8), region(8), discourse(7), speakers(7), script(7), bottom(7), backchannels(6), good point(6), recording(6), reference(6), summary(6), respect(6), american(5), british(5), dan(5), great idea(5), interface(5)",0,,A.J.A. Jubayer Talukder,2026-08-12T07:12:41+00:00
icsi/Train/000180/67377,icsi,Train,me011,Bsr001,"User: just doing multis
Speaker 2: Hmm.
User: Yeah, of course. Yeah.
Speaker 4: Uh - huh.
Speaker 5: Yeah.",just doing multi - stream on the different mikes helped enormously. And I was a little surprised.,"jane(21), dan(17), transcription(11), transcriber(8), tools(8), user interface(6), p z ms(5), pda(5), mike number(5), speaker change(5), stress(5), form(4), machine(4), money(4), speaker(4), transcripts(4), thanks(4), time alignment(4), tool(4), adam janin(3)",1,,A.J.A. Jubayer Talukder,2026-08-12T07:12:41+00:00
