marker_id,corpus,split,wearer,meeting_id,preceding_turns,wearer_next_utterance,wearer_profile_terms,label,notes,annotator,saved_at
icsi/Train/000328/2063,icsi,Train,mn007,Bro004,"Speaker 2: OK. So uh I also copied uh the results that we all got in the mail I think from uh from OGI and we'll go go through them also. So where are we on on uh our runs?
User: Uh so. uh We So As I was already said, we we mainly focused on uh four kind of features. The PLP, the PLP with JRASTA, the MSG, and the MFCC from the baseline Aurora.
Speaker 2: Excuse me.
Speaker 4: I decided to talk about that.
Speaker 2: Mm - hmm.",Um. We've trained uh several neural networks on so on the TI - digits English and on the Italian data and also on the broad uh English uh French and uh Spanish databases.,"french(9), italian(4), neural networks(4), phonemes(4), spanish(4), testing(4), aurora(3), finnish(3), language(3), net(3), superset(3), telephone speech(3), test(3), training(3), application(2), callfriend(2), cube(2), eight kilohertz(2), experiments(2), htk(2)",1,,A.J.A. Jubayer Talukder,2026-08-11T15:43:00+00:00
icsi/Train/000073/18275,icsi,Train,fn002,Bro016,"User: Uh, to try to found, nnn, robust feature for detect between voice and unvoice. And we w we try to use the variance of the es difference between the FFT spectrum and mel filter bank spectrum.
Speaker 1: Yeah.
User: Uh, also the another parameter is relates with the auto - correlation function.
Speaker 1: Uh - huh.
User: R - ze energy and the variance a also of the auto - correlation function.",Yeah. But we don't have res we don't have result of the AURO for Aurora yet. We need to train the neural network and,"htk(10), spanish(10), italian(9), delta - delta(8), experiment(8), feature(8), signal(7), neural network(6), plp(6), filter(6), spectrum(6), albayzin(5), lda(5), result(5), frame(5), database(4), labels(4), spain(4), timit(4), msg(4)",1,,A.J.A. Jubayer Talukder,2026-08-11T15:43:00+00:00
icsi/Train/000011/51061,icsi,Train,fe008,Bdb001,"Speaker 2: Mm - hmm.
Speaker 3: Yeah.
User: Are you talking about the overlap a annotations?
Speaker 3: Yeah, any kind of annotation that, like, isn't already there. Uh, you know, anything you can envision.
User: Yeah. So what I was imagining was um, so Dave says we can have unlimited numbers of green ribbons.","if we if we tie the overlap code to the first word in the overlap,","overlaps(30), overlap(16), reference(16), interface(15), transcribers(14), convention(12), speaker(11), speakers(10), respect(10), region(10), dan(9), types(9), tools(8), transcriber(8), aspect(8), conventions(8), good point(8), bottom(8), addition(7), discourse(7)",1,,A.J.A. Jubayer Talukder,2026-08-11T15:43:00+00:00
icsi/Train/000011/65432,icsi,Train,fe008,Bdb001,"Speaker 1: Transcript one five one one dash one five three zero.
Speaker 3: Let me
Speaker 1: zero one O six six seven three nine three one zero five eight eight one four five three eight five nine four three four six six O one three four eight seven eight zero one one two four three eight O seven two nine. Scratch that. nine O seven two nine zero one one three nine four two two five three eight seven O four five seven two two eight one zero nine five one O nine eight zero.
User: Transcript one four five one, one four seven O. nine five two O O three O four seven s zero seven one three six one nine O two two three O six O seven three two
Speaker 2: Oh, right.",six two O one seven five one eight five one two four five five.,"overlaps(30), overlap(16), reference(16), interface(15), transcribers(14), convention(12), speaker(11), speakers(10), respect(10), region(10), dan(9), types(9), tools(8), transcriber(8), aspect(8), conventions(8), good point(8), bottom(8), addition(7), discourse(7)",0,,A.J.A. Jubayer Talukder,2026-08-11T15:43:00+00:00
icsi/Val/000174/2557,icsi,Val,me011,Bns001,"Speaker 3: OK, transcript is one seven three one dash one seven five O O one nine nine O one three zero seven six seven five one seven four two O two three four six one eight seven seven four zero seven eight six four eight nine five O zero one zero three two three four three seven O five three zero two six nine seven nine seven eight nine O nine
Speaker 4: OK, this is transcript one five seven one, one five nine zero. three nine five four seven seven O five nine six seven O O six one nine one six four two O seven one zero three one eight zero zero nine eight five two three four zero zero one seven six three five seven seven eight nine nine three nine six O zero one three one eight five seven four three
User: If you could sign that?
Speaker 2: OK, Transcript script one four one one dash one four thre uh three zero. seven six four six three seven four eight six six four seven nine nine O O zero zero six two two eight zero one two five three four four six O two five six four four six six eight one five seven O eight O three zer zero three five three two one five three two six two two three eight four O one six one five seven two three five one two eight
Speaker 5: Um, transcript number one six five one, one six seven O - uh O. six O O seven zero nine one O three w O O nine zero six two zero two eight five one eight two three four O eight five seven six two four seven four three nine five five zero eight seven two seven nine eight seven one one O zero one three two O seven three four two",Thanks.,"jane(32), dan(21), transcription(16), iram(11), tools(10), transcriber(9), corpus(9), user interface(8), project(8), queries(8), meeting recorder(7), p z ms(7), transcripts(7), thanks(7), overlap(7), broadcast news(7), form(6), mikes(6), money(6), table(6)",0,,A.J.A. Jubayer Talukder,2026-08-11T15:43:00+00:00
icsi/Train/000219/16975,icsi,Train,me013,Bro007,"User: Yeah OK.
Speaker 1: I guess, yeah. Mmm.
User: Alright.
Speaker 1: It's not clear here.
User: OK. Maybe maybe they'll argue about it. Um",OK so if we can know what how many words are in each and then um Dave uh,"training(23), overlaps(22), energy(19), jose(19), language(17), ibm(16), htk(16), plp(16), jane(14), overlap(14), silence(14), other hand(13), msg(13), range(12), discussion(12), neural net(12), spanish(12), italian(11), list(10), chuck(10)",0,,A.J.A. Jubayer Talukder,2026-08-11T15:43:00+00:00
icsi/Train/000347/22706,icsi,Train,mn007,Bro027,"User: For the frame I guess. I computed two - twenty Yeah, well, it's I guess it's for the fr the
Speaker 1: OK. And then there's delta besides that?
User: So this is the features that are used by our network and then afterwards, you have to compute the delta on the, uh, main feature stream, which is
Speaker 1: OK.
User: um, delta and double - deltas, which is fifty milliseconds.",(wearer's next turn has no words -- a non-lexical vocalisation such as a laugh or breath),"vad(63), italian(51), spectral subtraction(38), plp(27), ti - digits(27), result(25), aurora(24), spanish(21), finnish(20), msg(20), network(20), neural network(20), lda(20), threshold(20), variance(19), training(18), french(17), mean(17), wiener(17), htk(16)",0,,A.J.A. Jubayer Talukder,2026-08-11T15:43:00+00:00
icsi/Val/000239/62817,icsi,Val,me013,Buw001,"Speaker 6: i I would use it for. But I also a lot of times
User: Mm - hmm.
Speaker 6: um, make you know, think to myself"" this is interesting, I've gotta come back and follow up on it"".
User: Mm - hmm. Mm - hmm.
Speaker 6: So, things that I think are interesting, um, I would be, uh, wanting to do a query about. And also, I like the idea of going around the room, because if somebody else thought something was interesting, I'd kind of want to know about it and then I'd want to follow up on it.","Yeah. That that might get at some of what I was I was concerned about,","ibm(4), wireless lapel(3), mari(3), channels(2), design(2), hour(2), jane(2), range(2), statement(2), transcription(2), two microphones(2), equipment(2), level(2), mike picheny(2), about five o' clock(1), action items(1), afternoon(1), alignments(1), annoyance(1), answer(1)",0,,A.J.A. Jubayer Talukder,2026-08-11T15:43:00+00:00
icsi/Train/000040/53729,icsi,Train,fe016,Bdb001,"Speaker 3: You'd it's much more efficient for them to just see the word sequence, right?
User: Mm - hmm.
Speaker 3: I mean, most people aren't as sophisticated as as we are here with, you know, uh, time alignments and stuff. So So the the the point is
Speaker 2: Should should we mention some names on the people who are n?
Speaker 3: Right. So, um, the p my point is that you're gonna end up with, uh, word sequences that are differently annotated. And you want some tool,","Well, all the Switchboard in it. Yeah.","jane(24), switchboard(16), overlap(13), don(13), mari(12), speaker(11), recognizer(11), overlaps(9), forced alignment(9), board(8), transcription(8), transcripts(8), turn(8), recognition(8), transcribers(8), backchannel(7), ideas(7), microphones(7), close - talking mikes(7), queries(7)",1,,A.J.A. Jubayer Talukder,2026-08-11T15:43:00+00:00
icsi/Val/000142/28781,icsi,Val,me010,Bed014,"User: Right. Yeah. So that's certainly more realistic. I m I mean psychologically. Now technically
Speaker 5: Right. Yeah.
User: Um
Speaker 4: Well, uh, is it doesn't it seem like if you just managed the dialogue history with a a thread, that you know, kept track of ho of the activity of I mean, cuz it would the the thread would know what nodes like, needed to be activated, so it could just keep track of how long it's been since something's been mentioned, and automatically load it in.
User: Yeah. You could do that. Um.","here's here's a way in th in the bl Bayes - net you could you could think about it this way, that if","belief(39), ontology(25), net(23), robert(22), decisions(17), german(16), discourse(15), decision(14), - net(13), bhaskara(13), context(11), johno(11), nancy(11), smartkom(11), xml(11), endpoint(11), keith(11), guys(9), notion(9), constructions(9)",1,,A.J.A. Jubayer Talukder,2026-08-11T15:43:00+00:00
